"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-82.02904,39.82142,944.42,287.86
2,-82.02980,39.82142,975.66,297.38
3,-82.03057,39.82142,1003.74,305.94
4,-82.03133,39.82142,1002.89,305.68
5,-82.03209,39.82142,1000.36,304.91
6,-82.03285,39.82142,1002.53,305.57
7,-82.03361,39.82142,957.58,291.87
8,-82.03437,39.82142,928.58,283.03
9,-82.03513,39.82142,932.94,284.36
10,-82.03589,39.82142,923.56,281.50
11,-82.03666,39.82142,896.23,273.17
12,-82.03742,39.82142,874.93,266.68
13,-82.03818,39.82142,862.07,262.76
14,-82.03894,39.82142,849.57,258.95
15,-82.03970,39.82142,848.85,258.73
16,-82.04046,39.82142,874.77,266.63
17,-82.04122,39.82142,910.73,277.59
18,-82.04198,39.82142,914.90,278.86
19,-82.04274,39.82142,892.75,272.11
20,-82.04351,39.82142,875.39,266.82
21,-82.04427,39.82142,837.01,255.12
22,-82.04503,39.82142,843.96,257.24
23,-82.04579,39.82142,871.10,265.51
24,-82.04655,39.82142,829.10,252.71
25,-82.04731,39.82142,836.35,254.92
26,-82.04807,39.82142,888.22,270.73
27,-82.04883,39.82142,891.44,271.71
28,-82.04960,39.82142,842.13,256.68
29,-82.05036,39.82142,822.87,250.81
30,-82.05112,39.82142,755.09,230.15
31,-82.05188,39.82142,777.40,236.95
32,-82.05264,39.82142,788.71,240.40
33,-82.05340,39.82142,809.61,246.77
34,-82.05416,39.82142,839.14,255.77
35,-82.05492,39.82142,858.46,261.66
36,-82.05569,39.82142,855.68,260.81
37,-82.05645,39.82142,881.56,268.70
38,-82.05721,39.82142,896.46,273.24
39,-82.05797,39.82142,919.09,280.14
40,-82.05873,39.82142,900.39,274.44
41,-82.05949,39.82142,822.18,250.60
42,-82.06025,39.82142,779.00,237.44
43,-82.06101,39.82142,764.96,233.16
44,-82.06177,39.82142,749.38,228.41
45,-82.06254,39.82142,749.41,228.42
46,-82.06330,39.82142,746.33,227.48
47,-82.06406,39.82142,744.98,227.07
48,-82.06482,39.82142,727.95,221.88
49,-82.06558,39.82142,729.66,222.40
50,-82.06634,39.82142,739.47,225.39
51,-82.06710,39.82142,754.07,229.84
52,-82.06786,39.82142,739.11,225.28
53,-82.06863,39.82142,731.50,222.96
54,-82.06939,39.82142,725.30,221.07
55,-82.07015,39.82142,725.30,221.07
56,-82.07091,39.82142,725.30,221.07
57,-82.07167,39.82142,732.51,223.27
58,-82.07243,39.82142,733.63,223.61
59,-82.07319,39.82142,744.69,226.98
60,-82.07395,39.82142,749.64,228.49
61,-82.07472,39.82142,746.65,227.58
62,-82.07548,39.82142,755.15,230.17
63,-82.07624,39.82142,775.72,236.44
64,-82.07700,39.82142,798.33,243.33
65,-82.07776,39.82142,763.25,232.64
66,-82.07852,39.82142,770.60,234.88
67,-82.07928,39.82142,779.82,237.69
68,-82.08004,39.82142,800.95,244.13
69,-82.08080,39.82142,804.53,245.22
70,-82.08157,39.82142,787.80,240.12
71,-82.08233,39.82142,782.78,238.59
72,-82.08309,39.82142,805.77,245.60
73,-82.08385,39.82142,816.83,248.97
74,-82.08461,39.82142,812.50,247.65
75,-82.08537,39.82142,785.60,239.45
76,-82.08613,39.82142,762.86,232.52
77,-82.08689,39.82142,804.36,245.17
78,-82.08766,39.82142,826.87,252.03
79,-82.08842,39.82142,816.08,248.74
80,-82.08918,39.82142,835.86,254.77
81,-82.08994,39.82142,833.43,254.03
82,-82.09070,39.82142,798.69,243.44
83,-82.09146,39.82142,759.61,231.53
84,-82.09222,39.82142,779.30,237.53
85,-82.09298,39.82142,826.84,252.02
86,-82.09375,39.82142,842.62,256.83
87,-82.09451,39.82142,848.65,258.67
88,-82.09527,39.82142,836.55,254.98
89,-82.09603,39.82142,814.14,248.15
90,-82.09679,39.82142,856.56,261.08
91,-82.09755,39.82142,856.76,261.14
92,-82.09831,39.82142,842.09,256.67
93,-82.09907,39.82142,799.74,243.76
94,-82.09983,39.82142,785.43,239.40
95,-82.10060,39.82142,795.47,242.46
96,-82.10136,39.82142,833.92,254.18
97,-82.10212,39.82142,859.61,262.01
98,-82.10288,39.82142,871.52,265.64
99,-82.10364,39.82142,858.69,261.73
100,-82.10440,39.82142,849.54,258.94
101,-82.10440,39.82083,815.22,248.48
102,-82.10516,39.82083,846.19,257.92
103,-82.10592,39.82083,851.54,259.55
104,-82.10669,39.82083,872.01,265.79
105,-82.10745,39.82083,873.62,266.28
106,-82.10821,39.82083,839.90,256.00
107,-82.10897,39.82083,860.33,262.23
108,-82.10973,39.82083,851.77,259.62
109,-82.11049,39.82083,819.85,249.89
110,-82.11125,39.82083,830.77,253.22
111,-82.11201,39.82083,829.89,252.95
112,-82.11278,39.82083,823.82,251.10
113,-82.11354,39.82083,822.64,250.74
114,-82.11430,39.82083,837.86,255.38
115,-82.11506,39.82083,884.06,269.46
116,-82.11582,39.82083,905.12,275.88
117,-82.11658,39.82083,888.02,270.67
118,-82.11734,39.82083,852.46,259.83
119,-82.11810,39.82083,883.86,269.40
120,-82.11886,39.82083,920.60,280.60
121,-82.11963,39.82083,936.45,285.43
122,-82.12039,39.82083,949.48,289.40
123,-82.12115,39.82083,959.58,292.48
124,-82.12191,39.82083,988.88,301.41
125,-82.12267,39.82083,939.96,286.50
126,-82.12343,39.82083,936.19,285.35
127,-82.12419,39.82083,967.85,295.00
128,-82.12495,39.82083,934.97,284.98
129,-82.12572,39.82083,951.15,289.91
130,-82.12648,39.82083,-9999,-9999
131,-82.12724,39.82083,905.41,275.97
132,-82.12800,39.82083,858.92,261.80
133,-82.12876,39.82083,911.75,277.90
134,-82.12952,39.82083,912.27,278.06
135,-82.13028,39.82083,875.03,266.71
136,-82.13104,39.82083,913.52,278.44
137,-82.13181,39.82083,897.47,273.55
138,-82.13257,39.82083,-9999,-9999
139,-82.13333,39.82083,836.68,255.02
140,-82.13409,39.82083,815.62,248.60
141,-82.13485,39.82083,805.31,245.46
142,-82.13561,39.82083,799.08,243.56
