"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-84.13909,39.80505,792.39,241.52
2,-84.13985,39.80505,791.67,241.30
3,-84.14061,39.80505,790.19,240.85
4,-84.14137,39.80505,789.30,240.58
5,-84.14213,39.80505,786.35,239.68
6,-84.14290,39.80505,783.60,238.84
7,-84.14366,39.80505,784.19,239.02
8,-84.14442,39.80505,783.63,238.85
9,-84.14518,39.80505,783.33,238.76
10,-84.14594,39.80505,777.85,237.09
11,-84.14670,39.80505,773.98,235.91
12,-84.14746,39.80505,772.51,235.46
13,-84.14822,39.80505,776.64,236.72
14,-84.14899,39.80505,772.11,235.34
15,-84.14975,39.80505,765.88,233.44
16,-84.15051,39.80505,778.41,237.26
17,-84.15127,39.80505,779.17,237.49
18,-84.15203,39.80505,771.46,235.14
19,-84.15279,39.80505,743.08,226.49
20,-84.15355,39.80505,744.19,226.83
21,-84.15431,39.80505,748.62,228.18
22,-84.15507,39.80505,747.08,227.71
23,-84.15584,39.80505,759.48,231.49
24,-84.15660,39.80505,751.54,229.07
25,-84.15736,39.80505,746.98,227.68
26,-84.15812,39.80505,751.61,229.09
27,-84.15888,39.80505,751.02,228.91
28,-84.15964,39.80505,740.98,225.85
29,-84.16040,39.80505,750.85,228.86
30,-84.16116,39.80505,748.43,228.12
31,-84.16193,39.80505,748.26,228.07
32,-84.16269,39.80505,754.36,229.93
33,-84.16345,39.80505,754.04,229.83
34,-84.16421,39.80505,751.21,228.97
35,-84.16497,39.80505,750.66,228.80
36,-84.16573,39.80505,757.05,230.75
37,-84.16649,39.80505,761.65,232.15
38,-84.16725,39.80505,758.14,231.08
39,-84.16802,39.80505,755.58,230.30
40,-84.16878,39.80505,752.62,229.40
41,-84.16954,39.80505,751.18,228.96
42,-84.17030,39.80505,753.94,229.80
43,-84.17106,39.80505,757.97,231.03
44,-84.17182,39.80505,766.86,233.74
45,-84.17258,39.80505,759.68,231.55
46,-84.17334,39.80505,756.53,230.59
47,-84.17410,39.80505,757.32,230.83
48,-84.17487,39.80505,770.80,234.94
49,-84.17563,39.80505,768.37,234.20
50,-84.17639,39.80505,744.42,226.90
51,-84.17715,39.80505,747.90,227.96
52,-84.17791,39.80505,772.11,235.34
53,-84.17867,39.80505,771.00,235.00
54,-84.17943,39.80505,768.60,234.27
55,-84.18019,39.80505,769.19,234.45
56,-84.18096,39.80505,772.28,235.39
57,-84.18172,39.80505,773.10,235.64
58,-84.18248,39.80505,747.97,227.98
59,-84.18324,39.80505,763.52,232.72
60,-84.18400,39.80505,766.77,233.71
61,-84.18476,39.80505,769.46,234.53
62,-84.18552,39.80505,768.04,234.10
63,-84.18628,39.80505,765.42,233.30
64,-84.18705,39.80505,764.44,233.00
65,-84.18781,39.80505,764.99,233.17
66,-84.18857,39.80505,767.19,233.84
67,-84.18933,39.80505,774.67,236.12
68,-84.19009,39.80505,784.84,239.22
69,-84.19085,39.80505,794.29,242.10
70,-84.19161,39.80505,797.54,243.09
71,-84.19237,39.80505,797.21,242.99
72,-84.19313,39.80505,801.84,244.40
73,-84.19390,39.80505,800.69,244.05
74,-84.19466,39.80505,793.34,241.81
75,-84.19542,39.80505,795.47,242.46
76,-84.19618,39.80505,793.41,241.83
77,-84.19694,39.80505,795.37,242.43
78,-84.19770,39.80505,792.81,241.65
79,-84.19846,39.80505,792.52,241.56
80,-84.19922,39.80505,762.89,232.53
81,-84.19999,39.80505,747.24,227.76
82,-84.20075,39.80505,745.05,227.09
83,-84.20151,39.80505,743.21,226.53
84,-84.20227,39.80505,743.21,226.53
85,-84.20303,39.80505,750.03,228.61
86,-84.20379,39.80505,749.08,228.32
87,-84.20455,39.80505,751.18,228.96
88,-84.20531,39.80505,744.52,226.93
89,-84.20608,39.80505,745.51,227.23
90,-84.20684,39.80505,747.93,227.97
91,-84.20760,39.80505,749.54,228.46
92,-84.20836,39.80505,756.86,230.69
93,-84.20912,39.80505,770.57,234.87
94,-84.20988,39.80505,771.56,235.17
95,-84.21064,39.80505,774.97,236.21
96,-84.21140,39.80505,780.45,237.88
97,-84.21216,39.80505,783.99,238.96
98,-84.21293,39.80505,788.78,240.42
99,-84.21369,39.80505,792.26,241.48
100,-84.21445,39.80505,800.69,244.05
101,-84.21445,39.80447,798.85,243.49
102,-84.21521,39.80447,804.17,245.11
103,-84.21597,39.80447,812.53,247.66
104,-84.21673,39.80447,835.63,254.70
105,-84.21749,39.80447,850.92,259.36
106,-84.21825,39.80447,853.18,260.05
107,-84.21902,39.80447,853.81,260.24
108,-84.21978,39.80447,862.96,263.03
109,-84.22054,39.80447,863.35,263.15
110,-84.22130,39.80447,864.40,263.47
111,-84.22206,39.80447,865.94,263.94
112,-84.22282,39.80447,868.04,264.58
113,-84.22358,39.80447,871.59,265.66
114,-84.22434,39.80447,886.55,270.22
115,-84.22511,39.80447,896.59,273.28
116,-84.22587,39.80447,904.36,275.65
117,-84.22663,39.80447,907.15,276.50
118,-84.22739,39.80447,917.75,279.73
119,-84.22815,39.80447,948.16,289.00
120,-84.22891,39.80447,947.80,288.89
121,-84.22967,39.80447,943.08,287.45
122,-84.23043,39.80447,939.83,286.46
123,-84.23119,39.80447,947.34,288.75
124,-84.23196,39.80447,951.61,290.05
125,-84.23272,39.80447,955.38,291.20
126,-84.23348,39.80447,956.27,291.47
127,-84.23424,39.80447,964.17,293.88
128,-84.23500,39.80447,975.89,297.45
129,-84.23576,39.80447,973.33,296.67
130,-84.23652,39.80447,969.52,295.51
131,-84.23728,39.80447,965.65,294.33
132,-84.23805,39.80447,971.49,296.11
133,-84.23881,39.80447,971.39,296.08
134,-84.23957,39.80447,976.12,297.52
135,-84.24033,39.80447,982.09,299.34
136,-84.24109,39.80447,987.37,300.95
137,-84.24185,39.80447,991.80,302.30
138,-84.24261,39.80447,993.01,302.67
139,-84.24337,39.80447,992.52,302.52
140,-84.24414,39.80447,983.69,299.83
141,-84.24490,39.80447,978.44,298.23
142,-84.24566,39.80447,973.95,296.86
143,-84.24642,39.80447,969.91,295.63
144,-84.24718,39.80447,966.11,294.47
145,-84.24794,39.80447,958.53,292.16
146,-84.24870,39.80447,959.35,292.41
147,-84.24946,39.80447,960.01,292.61
148,-84.25022,39.80447,962.96,293.51
149,-84.25099,39.80447,966.27,294.52
150,-84.25175,39.80447,966.14,294.48
151,-84.25251,39.80447,961.38,293.03
152,-84.25327,39.80447,958.46,292.14
153,-84.25403,39.80447,954.89,291.05
154,-84.25479,39.80447,950.16,289.61
155,-84.25555,39.80447,947.28,288.73
156,-84.25631,39.80447,938.25,285.98
157,-84.25708,39.80447,931.27,283.85
158,-84.25784,39.80447,930.51,283.62
159,-84.25860,39.80447,921.06,280.74
160,-84.25936,39.80447,916.11,279.23
161,-84.26012,39.80447,911.75,277.90
162,-84.26088,39.80447,902.03,274.94
163,-84.26164,39.80447,895.77,273.03
164,-84.26240,39.80447,890.39,271.39
165,-84.26317,39.80447,891.83,271.83
166,-84.26393,39.80447,898.23,273.78
167,-84.26469,39.80447,891.60,271.76
168,-84.26545,39.80447,887.14,270.40
169,-84.26621,39.80447,878.02,267.62
170,-84.26697,39.80447,878.12,267.65
171,-84.26773,39.80447,876.97,267.30
172,-84.26849,39.80447,872.01,265.79
173,-84.26925,39.80447,873.10,266.12
174,-84.27002,39.80447,873.98,266.39
175,-84.27078,39.80447,874.54,266.56
176,-84.27154,39.80447,873.85,266.35
177,-84.27230,39.80447,869.62,265.06
178,-84.27306,39.80447,859.84,262.08
179,-84.27382,39.80447,853.31,260.09
180,-84.27458,39.80447,841.08,256.36
181,-84.27534,39.80447,845.28,257.64
182,-84.27611,39.80447,841.67,256.54
183,-84.27687,39.80447,839.17,255.78
184,-84.27763,39.80447,836.09,254.84
185,-84.27839,39.80447,832.64,253.79
186,-84.27915,39.80447,830.25,253.06
187,-84.27991,39.80447,832.64,253.79
188,-84.28067,39.80447,826.64,251.96
189,-84.28143,39.80447,824.18,251.21
190,-84.28220,39.80447,824.87,251.42
191,-84.28296,39.80447,819.88,249.90
192,-84.28372,39.80447,818.67,249.53
193,-84.28448,39.80447,827.43,252.20
194,-84.28524,39.80447,826.28,251.85
195,-84.28600,39.80447,825.59,251.64
196,-84.28676,39.80447,825.66,251.66
197,-84.28752,39.80447,828.38,252.49
198,-84.28828,39.80447,835.63,254.70
199,-84.28905,39.80447,834.25,254.28
200,-84.28981,39.80447,833.73,254.12
201,-84.28981,39.80388,832.12,253.63
202,-84.29057,39.80388,836.45,254.95
203,-84.29133,39.80388,837.07,255.14
204,-84.29209,39.80388,836.91,255.09
205,-84.29285,39.80388,839.80,255.97
206,-84.29361,39.80388,841.54,256.50
207,-84.29437,39.80388,840.68,256.24
208,-84.29514,39.80388,842.03,256.65
209,-84.29590,39.80388,841.93,256.62
210,-84.29666,39.80388,843.50,257.10
211,-84.29742,39.80388,843.08,256.97
212,-84.29818,39.80388,843.80,257.19
213,-84.29894,39.80388,845.44,257.69
214,-84.29970,39.80388,847.31,258.26
215,-84.30046,39.80388,850.07,259.10
216,-84.30123,39.80388,855.38,260.72
217,-84.30199,39.80388,857.19,261.27
218,-84.30275,39.80388,852.76,259.92
219,-84.30351,39.80388,857.12,261.25
220,-84.30427,39.80388,855.61,260.79
221,-84.30503,39.80388,857.87,261.48
222,-84.30579,39.80388,859.65,262.02
223,-84.30655,39.80388,855.35,260.71
224,-84.30731,39.80388,857.61,261.40
225,-84.30808,39.80388,862.60,262.92
226,-84.30884,39.80388,830.31,253.08
227,-84.30960,39.80388,834.38,254.32
228,-84.31036,39.80388,836.29,254.90
229,-84.31112,39.80388,838.09,255.45
230,-84.31188,39.80388,839.99,256.03
231,-84.31264,39.80388,840.58,256.21
232,-84.31340,39.80388,843.67,257.15
233,-84.31417,39.80388,842.72,256.86
234,-84.31493,39.80388,837.50,255.27
235,-84.31569,39.80388,845.67,257.76
236,-84.31645,39.80388,841.73,256.56
237,-84.31721,39.80388,845.31,257.65
238,-84.31797,39.80388,854.30,260.39
239,-84.31873,39.80388,857.51,261.37
240,-84.31949,39.80388,861.38,262.55
241,-84.32026,39.80388,864.70,263.56
242,-84.32102,39.80388,867.06,264.28
243,-84.32178,39.80388,870.77,265.41
244,-84.32254,39.80388,866.54,264.12
245,-84.32330,39.80388,862.86,263.00
246,-84.32406,39.80388,872.74,266.01
247,-84.32482,39.80388,874.34,266.50
248,-84.32558,39.80388,877.36,267.42
249,-84.32634,39.80388,876.48,267.15
250,-84.32711,39.80388,882.15,268.88
251,-84.32787,39.80388,889.30,271.06
252,-84.32863,39.80388,884.02,269.45
253,-84.32939,39.80388,883.86,269.40
254,-84.33015,39.80388,885.47,269.89
255,-84.33091,39.80388,886.81,270.30
256,-84.33167,39.80388,883.56,269.31
257,-84.33243,39.80388,885.79,269.99
258,-84.33320,39.80388,887.07,270.38
259,-84.33396,39.80388,885.30,269.84
260,-84.33472,39.80388,883.92,269.42
261,-84.33548,39.80388,886.12,270.09
262,-84.33624,39.80388,891.17,271.63
263,-84.33700,39.80388,890.68,271.48
264,-84.33776,39.80388,892.81,272.13
265,-84.33852,39.80388,894.49,272.64
266,-84.33929,39.80388,868.08,264.59
267,-84.34005,39.80388,870.90,265.45
268,-84.34081,39.80388,871.85,265.74
269,-84.34157,39.80388,872.54,265.95
270,-84.34233,39.80388,869.88,265.14
271,-84.34309,39.80388,873.79,266.33
272,-84.34385,39.80388,875.03,266.71
273,-84.34461,39.80388,873.13,266.13
274,-84.34537,39.80388,876.64,267.20
275,-84.34614,39.80388,886.42,270.18
276,-84.34690,39.80388,906.27,276.23
277,-84.34766,39.80388,891.37,271.69
278,-84.34842,39.80388,915.49,279.04
279,-84.34918,39.80388,910.66,277.57
280,-84.34994,39.80388,911.94,277.96
281,-84.35070,39.80388,913.71,278.50
282,-84.35146,39.80388,917.52,279.66
283,-84.35223,39.80388,922.70,281.24
284,-84.35299,39.80388,928.71,283.07
285,-84.35375,39.80388,926.25,282.32
286,-84.35451,39.80388,923.69,281.54
287,-84.35527,39.80388,903.25,275.31
288,-84.35603,39.80388,903.15,275.28
289,-84.35679,39.80388,892.32,271.98
290,-84.35755,39.80388,893.80,272.43
291,-84.35832,39.80388,894.32,272.59
292,-84.35908,39.80388,894.49,272.64
293,-84.35984,39.80388,930.64,283.66
294,-84.36060,39.80388,931.76,284.00
295,-84.36136,39.80388,914.30,278.68
296,-84.36212,39.80388,922.93,281.31
297,-84.36288,39.80388,916.01,279.20
298,-84.36364,39.80388,916.77,279.43
299,-84.36440,39.80388,925.43,282.07
300,-84.36517,39.80388,935.37,285.10
301,-84.36517,39.80330,942.42,287.25
302,-84.36593,39.80330,948.69,289.16
303,-84.36669,39.80330,952.89,290.44
304,-84.36745,39.80330,954.17,290.83
305,-84.36821,39.80330,956.10,291.42
306,-84.36897,39.80330,955.77,291.32
307,-84.36973,39.80330,954.17,290.83
308,-84.37049,39.80330,953.38,290.59
309,-84.37126,39.80330,954.79,291.02
310,-84.37202,39.80330,951.44,290.00
311,-84.37278,39.80330,947.61,288.83
312,-84.37354,39.80330,933.69,284.59
313,-84.37430,39.80330,949.02,289.26
314,-84.37506,39.80330,955.48,291.23
315,-84.37582,39.80330,960.11,292.64
316,-84.37658,39.80330,962.50,293.37
317,-84.37735,39.80330,965.35,294.24
318,-84.37811,39.80330,965.62,294.32
319,-84.37887,39.80330,967.62,294.93
320,-84.37963,39.80330,969.36,295.46
321,-84.38039,39.80330,965.19,294.19
322,-84.38115,39.80330,963.16,293.57
323,-84.38191,39.80330,961.61,293.10
324,-84.38267,39.80330,960.73,292.83
325,-84.38343,39.80330,939.60,286.39
326,-84.38420,39.80330,934.84,284.94
327,-84.38496,39.80330,933.56,284.55
328,-84.38572,39.80330,933.23,284.45
329,-84.38648,39.80330,932.61,284.26
330,-84.38724,39.80330,944.23,287.80
331,-84.38800,39.80330,964.40,293.95
332,-84.38876,39.80330,968.11,295.08
333,-84.38952,39.80330,967.68,294.95
334,-84.39029,39.80330,965.81,294.38
335,-84.39105,39.80330,972.24,296.34
336,-84.39181,39.80330,973.20,296.63
337,-84.39257,39.80330,973.52,296.73
338,-84.39333,39.80330,972.77,296.50
339,-84.39409,39.80330,977.53,297.95
340,-84.39485,39.80330,978.02,298.10
341,-84.39561,39.80330,980.31,298.80
342,-84.39638,39.80330,976.87,297.75
343,-84.39714,39.80330,977.17,297.84
344,-84.39790,39.80330,974.25,296.95
345,-84.39866,39.80330,976.90,297.76
346,-84.39942,39.80330,972.67,296.47
347,-84.40018,39.80330,975.23,297.25
348,-84.40094,39.80330,976.41,297.61
349,-84.40170,39.80330,978.61,298.28
350,-84.40246,39.80330,978.87,298.36
351,-84.40323,39.80330,979.63,298.59
352,-84.40399,39.80330,978.61,298.28
353,-84.40475,39.80330,978.94,298.38
354,-84.40551,39.80330,981.89,299.28
355,-84.40627,39.80330,980.61,298.89
356,-84.40703,39.80330,980.28,298.79
357,-84.40779,39.80330,980.84,298.96
358,-84.40855,39.80330,982.87,299.58
359,-84.40932,39.80330,986.38,300.65
360,-84.41008,39.80330,985.14,300.27
361,-84.41084,39.80330,986.45,300.67
362,-84.41160,39.80330,988.39,301.26
363,-84.41236,39.80330,988.62,301.33
364,-84.41312,39.80330,988.35,301.25
365,-84.41388,39.80330,989.27,301.53
366,-84.41464,39.80330,992.29,302.45
367,-84.41541,39.80330,996.36,303.69
368,-84.41617,39.80330,993.60,302.85
369,-84.41693,39.80330,994.09,303.00
370,-84.41769,39.80330,996.10,303.61
371,-84.41845,39.80330,997.38,304.00
372,-84.41921,39.80330,995.14,303.32
373,-84.41997,39.80330,994.98,303.27
374,-84.42073,39.80330,996.42,303.71
375,-84.42149,39.80330,999.15,304.54
376,-84.42226,39.80330,1000.03,304.81
377,-84.42302,39.80330,1000.26,304.88
378,-84.42378,39.80330,1002.26,305.49
379,-84.42454,39.80330,1002.72,305.63
380,-84.42530,39.80330,1004.69,306.23
381,-84.42606,39.80330,1002.82,305.66
382,-84.42682,39.80330,1003.38,305.83
383,-84.42758,39.80330,1003.25,305.79
384,-84.42835,39.80330,1005.68,306.53
385,-84.42911,39.80330,1003.87,305.98
386,-84.42987,39.80330,1005.84,306.58
387,-84.43063,39.80330,1005.54,306.49
388,-84.43139,39.80330,1006.27,306.71
389,-84.43215,39.80330,1004.86,306.28
390,-84.43291,39.80330,1006.66,306.83
391,-84.43367,39.80330,1008.63,307.43
392,-84.43444,39.80330,1009.32,307.64
393,-84.43520,39.80330,1010.76,308.08
394,-84.43596,39.80330,1010.83,308.10
395,-84.43672,39.80330,1011.06,308.17
396,-84.43748,39.80330,1012.99,308.76
397,-84.43824,39.80330,1012.14,308.50
398,-84.43900,39.80330,1013.48,308.91
399,-84.43976,39.80330,1011.65,308.35
400,-84.44052,39.80330,1013.19,308.82
