"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-80.82330,39.83077,622.67,189.79
2,-80.82406,39.83077,622.67,189.79
3,-80.82482,39.83077,622.67,189.79
4,-80.82559,39.83077,660.79,201.41
5,-80.82635,39.83077,779.59,237.62
6,-80.82711,39.83077,929.69,283.37
7,-80.82787,39.83077,1067.22,325.29
8,-80.82863,39.83077,1126.61,343.39
9,-80.82939,39.83077,1126.57,343.38
10,-80.83015,39.83077,1108.20,337.78
11,-80.83091,39.83077,1149.54,350.38
12,-80.83168,39.83077,1092.78,333.08
13,-80.83244,39.83077,1041.37,317.41
14,-80.83320,39.83077,1082.41,329.92
15,-80.83396,39.83077,1105.54,336.97
16,-80.83472,39.83077,1173.69,357.74
17,-80.83548,39.83077,1210.14,368.85
18,-80.83624,39.83077,1191.63,363.21
19,-80.83700,39.83077,1172.41,357.35
20,-80.83777,39.83077,1130.25,344.50
21,-80.83853,39.83077,1145.96,349.29
22,-80.83929,39.83077,1165.29,355.18
23,-80.84005,39.83077,1115.52,340.01
24,-80.84081,39.83077,1113.32,339.34
25,-80.84157,39.83077,1057.15,322.22
26,-80.84233,39.83077,985.24,300.30
27,-80.84309,39.83077,895.18,272.85
28,-80.84385,39.83077,882.12,268.87
29,-80.84462,39.83077,830.71,253.20
30,-80.84538,39.83077,788.55,240.35
31,-80.84614,39.83077,763.62,232.75
32,-80.84690,39.83077,754.10,229.85
33,-80.84766,39.83077,831.23,253.36
34,-80.84842,39.83077,900.56,274.49
35,-80.84918,39.83077,903.15,275.28
36,-80.84994,39.83077,888.19,270.72
37,-80.85071,39.83077,964.34,293.93
38,-80.85147,39.83077,1085.14,330.75
39,-80.85223,39.83077,1088.85,331.88
40,-80.85299,39.83077,1078.94,328.86
41,-80.85375,39.83077,1114.60,339.73
42,-80.85451,39.83077,1176.12,358.48
43,-80.85527,39.83077,1176.18,358.50
44,-80.85603,39.83077,1131.86,344.99
45,-80.85680,39.83077,1008.04,307.25
46,-80.85756,39.83077,880.77,268.46
47,-80.85832,39.83077,968.70,295.26
48,-80.85908,39.83077,1075.07,327.68
49,-80.85984,39.83077,941.04,286.83
50,-80.86060,39.83077,1011.78,308.39
51,-80.86136,39.83077,1112.50,339.09
52,-80.86212,39.83077,1181.86,360.23
53,-80.86288,39.83077,1181.76,360.20
54,-80.86365,39.83077,1158.60,353.14
55,-80.86441,39.83077,1089.47,332.07
56,-80.86517,39.83077,941.50,286.97
57,-80.86593,39.83077,914.76,278.82
58,-80.86669,39.83077,1080.81,329.43
59,-80.86745,39.83077,1162.47,354.32
60,-80.86821,39.83077,1171.72,357.14
61,-80.86897,39.83077,1133.14,345.38
62,-80.86974,39.83077,1119.42,341.20
63,-80.87050,39.83077,1137.53,346.72
64,-80.87126,39.83077,1115.88,340.12
65,-80.87202,39.83077,1003.44,305.85
66,-80.87278,39.83077,1047.15,319.17
67,-80.87354,39.83077,966.70,294.65
68,-80.87430,39.83077,1082.58,329.97
69,-80.87506,39.83077,1180.68,359.87
70,-80.87583,39.83077,1139.57,347.34
71,-80.87659,39.83077,1116.40,340.28
72,-80.87735,39.83077,1169.82,356.56
73,-80.87811,39.83077,1174.90,358.11
74,-80.87887,39.83077,1117.55,340.63
75,-80.87963,39.83077,1063.91,324.28
76,-80.88039,39.83077,1092.52,333.00
77,-80.88115,39.83077,1168.08,356.03
78,-80.88191,39.83077,1218.18,371.30
79,-80.88268,39.83077,1161.32,353.97
80,-80.88344,39.83077,1109.78,338.26
81,-80.88420,39.83077,1115.68,340.06
82,-80.88496,39.83077,1019.23,310.66
83,-80.88572,39.83077,1071.98,326.74
84,-80.88648,39.83077,1096.72,334.28
85,-80.88724,39.83077,1130.12,344.46
86,-80.88800,39.83077,1163.09,354.51
87,-80.88877,39.83077,1188.68,362.31
88,-80.88953,39.83077,1189.60,362.59
89,-80.89029,39.83077,1128.08,343.84
90,-80.89105,39.83077,1175.43,358.27
91,-80.89181,39.83077,1179.76,359.59
92,-80.89257,39.83077,1144.91,348.97
93,-80.89333,39.83077,1105.54,336.97
94,-80.89409,39.83077,1151.94,351.11
95,-80.89486,39.83077,1182.87,360.54
96,-80.89562,39.83077,1236.09,376.76
97,-80.89638,39.83077,1236.98,377.03
98,-80.89714,39.83077,1264.21,385.33
99,-80.89790,39.83077,1298.00,395.63
100,-80.89866,39.83077,1274.02,388.32
101,-80.89866,39.83019,1234.78,376.36
102,-80.89942,39.83019,1226.35,373.79
103,-80.90018,39.83019,1252.20,381.67
104,-80.90094,39.83019,1231.96,375.50
105,-80.90171,39.83019,1195.80,364.48
106,-80.90247,39.83019,1240.81,378.20
107,-80.90323,39.83019,1285.76,391.90
108,-80.90399,39.83019,1311.45,399.73
109,-80.90475,39.83019,1278.41,389.66
110,-80.90551,39.83019,1293.90,394.38
111,-80.90627,39.83019,1290.09,393.22
112,-80.90703,39.83019,1284.74,391.59
113,-80.90780,39.83019,1283.17,391.11
114,-80.90856,39.83019,1280.22,390.21
115,-80.90932,39.83019,1273.36,388.12
116,-80.91008,39.83019,1314.90,400.78
117,-80.91084,39.83019,1260.60,384.23
118,-80.91160,39.83019,1201.77,366.30
119,-80.91236,39.83019,1130.81,344.67
120,-80.91312,39.83019,1174.93,358.12
121,-80.91389,39.83019,1235.60,376.61
122,-80.91465,39.83019,1281.92,390.73
123,-80.91541,39.83019,1247.21,380.15
124,-80.91617,39.83019,1187.47,361.94
125,-80.91693,39.83019,1223.85,373.03
126,-80.91769,39.83019,1294.78,394.65
127,-80.91845,39.83019,1275.07,388.64
128,-80.91921,39.83019,1220.83,372.11
129,-80.91997,39.83019,1205.18,367.34
130,-80.92074,39.83019,1162.04,354.19
131,-80.92150,39.83019,1227.40,374.11
132,-80.92226,39.83019,1301.97,396.84
133,-80.92302,39.83019,1291.01,393.50
134,-80.92378,39.83019,1295.28,394.80
135,-80.92454,39.83019,1299.57,396.11
136,-80.92530,39.83019,1255.74,382.75
137,-80.92606,39.83019,1248.29,380.48
138,-80.92683,39.83019,1269.13,386.83
139,-80.92759,39.83019,1332.71,406.21
140,-80.92835,39.83019,1318.21,401.79
141,-80.92911,39.83019,1256.07,382.85
142,-80.92987,39.83019,1218.64,371.44
143,-80.93063,39.83019,1182.22,360.34
144,-80.93139,39.83019,1195.31,364.33
145,-80.93215,39.83019,1183.89,360.85
146,-80.93292,39.83019,1144.09,348.72
147,-80.93368,39.83019,1183.07,360.60
148,-80.93444,39.83019,1189.17,362.46
149,-80.93520,39.83019,1224.48,373.22
150,-80.93596,39.83019,1277.72,389.45
151,-80.93672,39.83019,1229.69,374.81
152,-80.93748,39.83019,1184.48,361.03
153,-80.93824,39.83019,1170.31,356.71
154,-80.93900,39.83019,1179.00,359.36
155,-80.93977,39.83019,1107.68,337.62
156,-80.94053,39.83019,1058.10,322.51
157,-80.94129,39.83019,1061.94,323.68
158,-80.94205,39.83019,1074.05,327.37
159,-80.94281,39.83019,1084.02,330.41
160,-80.94357,39.83019,1140.94,347.76
161,-80.94433,39.83019,1211.38,369.23
162,-80.94509,39.83019,1242.82,378.81
163,-80.94586,39.83019,1207.68,368.10
164,-80.94662,39.83019,1229.33,374.70
165,-80.94738,39.83019,1254.82,382.47
166,-80.94814,39.83019,1249.84,380.95
167,-80.94890,39.83019,1283.46,391.20
168,-80.94966,39.83019,1343.70,409.56
169,-80.95042,39.83019,1359.61,414.41
170,-80.95118,39.83019,1308.83,398.93
171,-80.95195,39.83019,1237.93,377.32
172,-80.95271,39.83019,1190.58,362.89
173,-80.95347,39.83019,1219.55,371.72
174,-80.95423,39.83019,1229.40,374.72
175,-80.95499,39.83019,1250.52,381.16
176,-80.95575,39.83019,1236.61,376.92
177,-80.95651,39.83019,-9999,-9999
178,-80.95727,39.83019,1139.96,347.46
179,-80.95803,39.83019,1206.33,367.69
180,-80.95880,39.83019,1236.29,376.82
181,-80.95956,39.83019,1248.92,380.67
182,-80.96032,39.83019,1212.37,369.53
183,-80.96108,39.83019,1132.68,345.24
184,-80.96184,39.83019,1056.20,321.93
185,-80.96260,39.83019,996.49,303.73
186,-80.96336,39.83019,1081.69,329.70
187,-80.96412,39.83019,1181.43,360.10
188,-80.96489,39.83019,1160.89,353.84
189,-80.96565,39.83019,1120.11,341.41
190,-80.96641,39.83019,1072.90,327.02
191,-80.96717,39.83019,1101.02,335.59
192,-80.96793,39.83019,1171.29,357.01
193,-80.96869,39.83019,1200.62,365.95
194,-80.96945,39.83019,1256.76,383.06
195,-80.97021,39.83019,1294.98,394.71
196,-80.97098,39.83019,1290.09,393.22
197,-80.97174,39.83019,1261.42,384.48
198,-80.97250,39.83019,1223.56,372.94
199,-80.97326,39.83019,1198.00,365.15
200,-80.97402,39.83019,1243.57,379.04
201,-80.97402,39.82960,1279.00,389.84
202,-80.97478,39.82960,1299.64,396.13
203,-80.97554,39.82960,1285.73,391.89
204,-80.97630,39.82960,1229.79,374.84
205,-80.97706,39.82960,1211.15,369.16
206,-80.97783,39.82960,1184.42,361.01
207,-80.97859,39.82960,1222.15,372.51
208,-80.97935,39.82960,1246.75,380.01
209,-80.98011,39.82960,1207.51,368.05
210,-80.98087,39.82960,1209.61,368.69
211,-80.98163,39.82960,1244.06,379.19
212,-80.98239,39.82960,1218.77,371.48
213,-80.98315,39.82960,1186.98,361.79
214,-80.98392,39.82960,1113.62,339.43
215,-80.98468,39.82960,1079.07,328.90
216,-80.98544,39.82960,1093.70,333.36
217,-80.98620,39.82960,1144.26,348.77
218,-80.98696,39.82960,1185.07,361.21
219,-80.98772,39.82960,1164.27,354.87
220,-80.98848,39.82960,1104.72,336.72
221,-80.98924,39.82960,1021.92,311.48
222,-80.99001,39.82960,1059.81,323.03
223,-80.99077,39.82960,1086.22,331.08
224,-80.99153,39.82960,1093.70,333.36
225,-80.99229,39.82960,1085.96,331.00
