"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-81.42617,39.82609,1187.34,361.90
2,-81.42693,39.82609,1102.10,335.92
3,-81.42770,39.82609,1069.23,325.90
4,-81.42846,39.82609,1012.60,308.64
5,-81.42922,39.82609,984.15,299.97
6,-81.42998,39.82609,973.26,296.65
7,-81.43074,39.82609,943.04,287.44
8,-81.43150,39.82609,947.64,288.84
9,-81.43226,39.82609,917.36,279.61
10,-81.43302,39.82609,893.50,272.34
11,-81.43378,39.82609,896.19,273.16
12,-81.43455,39.82609,932.94,284.36
13,-81.43531,39.82609,940.39,286.63
14,-81.43607,39.82609,938.65,286.10
15,-81.43683,39.82609,953.44,290.61
16,-81.43759,39.82609,949.97,289.55
17,-81.43835,39.82609,949.18,289.31
18,-81.43911,39.82609,920.28,280.50
19,-81.43987,39.82609,916.77,279.43
20,-81.44064,39.82609,966.01,294.44
21,-81.44140,39.82609,978.90,298.37
22,-81.44216,39.82609,1007.61,307.12
23,-81.44292,39.82609,1085.33,330.81
24,-81.44368,39.82609,1111.19,338.69
25,-81.44444,39.82609,1144.36,348.80
26,-81.44520,39.82609,1168.83,356.26
27,-81.44596,39.82609,1183.30,360.67
28,-81.44673,39.82609,1149.38,350.33
29,-81.44749,39.82609,1135.63,346.14
30,-81.44825,39.82609,1099.77,335.21
31,-81.44901,39.82609,1075.72,327.88
32,-81.44977,39.82609,1109.88,338.29
33,-81.45053,39.82609,1100.43,335.41
34,-81.45129,39.82609,1041.93,317.58
35,-81.45205,39.82609,995.73,303.50
36,-81.45281,39.82609,975.39,297.30
37,-81.45358,39.82609,961.58,293.09
38,-81.45434,39.82609,909.28,277.15
39,-81.45510,39.82609,891.47,271.72
40,-81.45586,39.82609,893.27,272.27
41,-81.45662,39.82609,897.21,273.47
42,-81.45738,39.82609,923.06,281.35
43,-81.45814,39.82609,957.32,291.79
44,-81.45890,39.82609,955.35,291.19
45,-81.45967,39.82609,958.63,292.19
46,-81.46043,39.82609,987.37,300.95
47,-81.46119,39.82609,1013.71,308.98
48,-81.46195,39.82609,1037.73,316.30
49,-81.46271,39.82609,1075.89,327.93
50,-81.46347,39.82609,1130.45,344.56
51,-81.46423,39.82609,1136.15,346.30
52,-81.46499,39.82609,1087.40,331.44
53,-81.46576,39.82609,1032.71,314.77
54,-81.46652,39.82609,1009.19,307.60
55,-81.46728,39.82609,985.37,300.34
56,-81.46804,39.82609,968.80,295.29
57,-81.46880,39.82609,915.22,278.96
58,-81.46956,39.82609,908.79,277.00
59,-81.47032,39.82609,873.75,266.32
60,-81.47108,39.82609,874.48,266.54
61,-81.47184,39.82609,890.91,271.55
62,-81.47261,39.82609,921.10,280.75
63,-81.47337,39.82609,923.39,281.45
64,-81.47413,39.82609,941.40,286.94
65,-81.47489,39.82609,930.31,283.56
66,-81.47565,39.82609,932.12,284.11
67,-81.47641,39.82609,897.08,273.43
68,-81.47717,39.82609,872.61,265.97
69,-81.47793,39.82609,932.05,284.09
70,-81.47870,39.82609,951.25,289.94
71,-81.47946,39.82609,923.46,281.47
72,-81.48022,39.82609,896.72,273.32
73,-81.48098,39.82609,910.20,277.43
74,-81.48174,39.82609,925.89,282.21
75,-81.48250,39.82609,892.49,272.03
76,-81.48326,39.82609,891.27,271.66
77,-81.48402,39.82609,878.64,267.81
78,-81.48479,39.82609,876.71,267.22
79,-81.48555,39.82609,874.74,266.62
80,-81.48631,39.82609,876.25,267.08
81,-81.48707,39.82609,874.61,266.58
82,-81.48783,39.82609,871.59,265.66
83,-81.48859,39.82609,874.05,266.41
84,-81.48935,39.82609,843.96,257.24
85,-81.49011,39.82609,836.06,254.83
86,-81.49087,39.82609,837.07,255.14
87,-81.49164,39.82609,836.12,254.85
88,-81.49240,39.82609,835.76,254.74
89,-81.49316,39.82609,835.79,254.75
90,-81.49392,39.82609,835.07,254.53
91,-81.49468,39.82609,835.76,254.74
92,-81.49544,39.82609,834.12,254.24
93,-81.49620,39.82609,839.04,255.74
94,-81.49696,39.82609,873.00,266.09
95,-81.49773,39.82609,900.79,274.56
96,-81.49849,39.82609,962.66,293.42
97,-81.49925,39.82609,997.08,303.91
98,-81.50001,39.82609,996.10,303.61
99,-81.50077,39.82609,1020.08,310.92
100,-81.50153,39.82609,1037.40,316.20
101,-81.50153,39.82551,1008.92,307.52
102,-81.50229,39.82551,1004.33,306.12
103,-81.50305,39.82551,974.67,297.08
104,-81.50382,39.82551,961.15,292.96
105,-81.50458,39.82551,955.12,291.12
106,-81.50534,39.82551,1000.00,304.80
107,-81.50610,39.82551,1022.90,311.78
108,-81.50686,39.82551,1044.16,318.26
109,-81.50762,39.82551,1076.12,328.00
110,-81.50838,39.82551,1106.86,337.37
111,-81.50914,39.82551,1161.81,354.12
112,-81.50990,39.82551,1141.96,348.07
113,-81.51067,39.82551,1116.80,340.40
114,-81.51143,39.82551,1075.20,327.72
115,-81.51219,39.82551,1049.97,320.03
